Id,Sales
1,4190.712064496702
2,7199.390200774704
3,8936.070098563001
4,7063.333438330198
5,7016.517242023008
6,5630.91525191476
7,7472.008594972873
8,7698.192022610178
9,5292.216663459537
10,5546.374910509389
11,6734.606541964707
12,7995.459597998298
13,6996.3869387257155
14,8791.099783892654
15,5817.170144018562
16,4753.420598062892
17,5535.7015384405595
18,9544.500024320987
19,10468.048386043802
20,9577.012878314275
21,7673.727289963345
22,4421.02431551272
23,5763.117345364863
24,4217.163073554557
25,7836.323639754306
26,10838.450694261639
27,9089.453151532192
28,5799.958049605327
29,5047.922758555666
30,4201.490859097862
31,5933.1030830366035
32,10163.58975184161
33,6670.237265444203
34,5230.64051117194
35,5389.367469219536
36,7541.98360410345
37,3629.6254018487225
38,7323.3788913937415
39,4355.321940750864
40,6837.658989752299
41,6610.4015642506465
42,5313.130632985268
43,7852.3105193099345
44,6786.888454381335
45,4925.843231872056
46,6717.143520067614
47,7066.178990460407
48,11431.106900894154
49,5984.969787561696
50,8103.243292837622
51,6660.815062645382
52,8875.934146257167
53,6528.729274179599
54,9243.12791871409
55,4625.80963279315
56,4835.486034695131
57,6076.215676562243
58,5741.051174861741
59,8950.126312732116
60,7694.619796348938
61,5569.618242084163
62,7602.416650744131
63,6627.067120615666
64,9808.159404422544
65,3889.965267123769
66,12778.6525160668
67,4868.987365475704
68,6111.078576665655
69,8221.131729287295
70,4820.684136230823
71,6280.0294641956325
72,6274.68288732774
73,7403.558412841863
74,5530.938745122502
75,5756.44798853076
76,7715.752353103762
77,7561.708261513899
78,6810.482728988942
79,4987.0402615482635
80,6989.301595622719
81,11272.554277204657
82,6411.7941164621525
83,4217.294319569849
84,6768.901921765942
85,5884.355195339112
86,5672.060749927751
87,7383.536221752337
88,3914.7966774831134
89,7900.881899956278
90,5970.595056013333
91,7070.608231258336
92,6581.191947607472
93,4145.832895712612
94,5991.08074109676
95,5240.344216260651
96,8036.690832821693
97,8985.172509221404
98,5081.134041250012
99,4916.190668183936
100,6884.356341638493
101,5979.283711198486
102,6286.642670628209
103,7547.709345986607
104,6726.781984810765
105,7526.296872255385
106,5569.314906618524
107,4397.914049904454
108,6480.7173797022
109,7956.536086996524
110,7722.5861079876995
111,8114.29087229702
112,7948.2121369186725
113,5721.832571085558
114,8649.989733220205
115,5713.684357558622
116,6841.267357120041
117,8947.95293893166
118,6662.582617376843
119,9875.723005100646
120,7668.643882420179
121,7645.205118579028
122,5853.067730184578
123,7059.347163027215
124,7908.25251003113
125,6434.512373302563
126,3943.5843345381127
127,5152.138776930244
128,7746.771581722871
129,5536.539441172594
130,4351.268467325778
131,8377.553943152105
132,6321.128240420312
133,5820.9020197271175
134,5753.046502135843
135,5390.79241480774
136,7251.549940759774
137,7057.592843836896
138,6630.773306221192
139,5621.03319639105
140,5209.216330895451
141,6497.130135382062
142,3857.302593135601
143,6263.078246391927
144,5126.267641527948
145,8380.159421455948
146,7292.1537894897165
147,6147.222329357074
148,11557.678200791148
149,5083.476982620693
150,5018.506303473988
151,10385.91223828624
152,6720.853972106126
153,8418.320097597656
