Id,Bills & Fees,Data & WiFi,Education,Emergency fund,Family & Friends,Going out,Groceries,Health,Loan Repayment,Miscellaneous,Rent / Mortgage,Shopping,Transport & Fuel
ID_gqase66n,0.02855484594542694,0.012283937901083272,0.002546533877116023,0.005471823463378028,0.008929730240099834,0.7316063526144999,0.10534975120165682,0.004025404950020652,0.006807885838673917,0.01729697786943077,0.005569552713355049,0.02900492290726991,0.042552280477988785
ID_81rystyl,0.048795372877292825,0.6953827652636473,0.0009215073895917359,0.010256577107709712,0.02998356278817773,0.022373621531961756,0.06233341185111138,0.002814048878799828,0.001934074907704869,0.09625352023346331,0.0017886168375840718,0.009557244885013656,0.017605675447941865
ID_xmtv3qil,0.016101452968297042,0.8727958019532784,0.0003430689371106564,0.0024619445737203453,0.006194609940527492,0.01122474210759973,0.029370584360027138,0.0008418270871986917,0.0006502334501835193,0.044315340156482086,0.00047976811148122957,0.0037269603929083526,0.011493665961185397
ID_wz92zfhd,0.007888319370094876,0.00728443324209802,0.00015655963806969573,0.0010170904933135656,0.0018411802286517763,0.007303295556657532,0.022687509628759366,0.0005745202284941179,0.00037457276719021526,0.9412513184288865,0.00020885688996877597,0.0013102604389103915,0.008102083088905265
ID_ogyrecgz,0.007393069170490813,0.007405811632362452,0.0001571191549832816,0.0009837381604670807,0.0017528260096696829,0.00736269420261728,0.02442156725072958,0.0005816093042887157,0.0003335843190893871,0.939876303283642,0.00020848208945951197,0.0014643671106757948,0.008058828311524595
ID_2h89w814,0.006386898117745229,0.9183254337095158,0.00032239941980588674,0.00140391564739843,0.002999203855839079,0.006784586195561134,0.020098852337050173,0.0008425839159175168,0.0005102297819181649,0.0288067292337812,0.00042267590930550124,0.0031140018171588015,0.009982490059003046
ID_ofympoh2,0.006524044246348503,0.9208197182535108,0.0003160280346454199,0.0013947493325812172,0.003094399942713473,0.006667150877820985,0.018552549763004474,0.0008282735552318772,0.000547365799565743,0.028629540157821962,0.00041856501509623966,0.002929751212209925,0.009277863809449418
ID_0nd2x27b,0.007888319370094876,0.00728443324209802,0.00015655963806969573,0.0010170904933135656,0.0018411802286517763,0.007303295556657532,0.022687509628759366,0.0005745202284941179,0.00037457276719021526,0.9412513184288865,0.00020885688996877597,0.0013102604389103915,0.008102083088905265
ID_ndje6wd4,0.006524044246348503,0.9208197182535108,0.0003160280346454199,0.0013947493325812172,0.003094399942713473,0.006667150877820985,0.018552549763004474,0.0008282735552318772,0.000547365799565743,0.028629540157821962,0.00041856501509623966,0.002929751212209925,0.009277863809449418
ID_t1b2rj8j,0.005139907305626139,0.9734202927608082,0.00015501980513171282,0.0011175579208295254,0.0024490816928539614,0.0023295663356081276,0.003525299238986578,0.0030794110844577995,0.00042925666689714746,0.004304677426475357,0.00017546387428347816,0.002120550834302605,0.0017539150537392812
ID_416hrvpe,0.01782152868046162,0.011102175476720731,0.0001783333372095558,0.0018162896807442175,0.005038408154746344,0.01342834844159001,0.03633684844196991,0.0007950604252628782,0.0004932412098853209,0.8982014414672003,0.0002495464359964041,0.002079292864823975,0.012459485383389066
ID_j34f0v39,0.012042800159759438,0.9483310200843174,0.00014992682062171719,0.0027511052261775136,0.0031815083861545792,0.005805568738999734,0.00917525456101164,0.00405791276051481,0.0009006391794853972,0.006191424219299279,0.00017666020064827375,0.003400932668807529,0.0038352469942025996
ID_kt3hch74,0.02034739417651439,0.006560017982196043,0.00038242667278357885,0.0025661188400787206,0.00774320530352925,0.039134978203983636,0.858407788318961,0.004353070899428515,0.003939999869457344,0.014916378529094613,0.0012615700691616443,0.014737401166884642,0.02564964996792668
ID_3jnvetig,0.12317362799734441,0.02492653991972187,0.004256366706691564,0.32012354509397756,0.03491352733984463,0.07312303436633019,0.21001922882315138,0.019199788720007993,0.011300080577713669,0.02053792867814764,0.006935616348407666,0.1273365496361169,0.02415416579254464
ID_zym0pkxl,0.0622541269632385,0.015821902031953432,0.002146908434550105,0.023771220512506994,0.7434944371673441,0.009407031673255076,0.05155791305527739,0.019391205666063647,0.013336551068715362,0.014380197287192979,0.009134730635770742,0.025922942728014636,0.009380832776117213
ID_aoyfx4p3,0.137258513596481,0.036706498529766055,0.007388947390349259,0.01831020673709071,0.06100778264425458,0.14298722617196855,0.15939749209569704,0.038131176865052664,0.06449651446540507,0.10031001346020692,0.006029046060550084,0.07732370955200911,0.15065287243116912
ID_gtj1tfjf,0.1336294366411734,0.036191112831150486,0.007292256639328065,0.017643043244626705,0.05970006510962695,0.14304073915777113,0.1618385628763651,0.038223062564387636,0.059152062140706035,0.0988855630821606,0.005961714982991595,0.08558266597160769,0.15285971475810473
ID_hikt0irm,0.12623320290195425,0.02793638283018724,0.0009937507563658819,0.6737776283610091,0.013146517017143736,0.018582641275194895,0.06245567908219082,0.007124453649593133,0.001954889011273399,0.01208228523261686,0.0013527198201879987,0.04578556106995636,0.008574288992326358
ID_cl65jmri,0.19506950287385827,0.7343916973488237,0.0005264764357841459,0.0029434604767969094,0.00627244314795545,0.007801335015321676,0.008291387275481212,0.022134131885852105,0.001187089516047728,0.00790270061405635,0.0006145132546578018,0.007213833009607889,0.005651429145756956
ID_f1mv2nua,0.02031467281849452,0.006555679221293795,0.00038242667278357885,0.0025650023762083737,0.00742029262133653,0.0393929370538304,0.8586026607302728,0.004349229049476823,0.003934302034563122,0.01489663474254866,0.001258106606194035,0.014721616445119799,0.02560643962787768
ID_rgnrrv5b,0.01995007739614227,0.006480488982730927,0.00035577802248576456,0.002403302558807344,0.007301182331439767,0.0400142892171452,0.8600182654378444,0.004253868889379971,0.003703865702330188,0.014508979704031219,0.0012137772045530473,0.015213013942107634,0.02458311061100215
ID_01db594f,0.07013682118918085,0.006587075058972327,0.003124009814744715,0.01076640752490793,0.02176000933656591,0.7639244038010291,0.045699797699583336,0.01518293890389969,0.004506445909537039,0.006356671150927718,0.0028643109847200253,0.03781216073509779,0.011278947890833797
ID_v83kpk5f,0.015151845795479275,0.006478029130846495,0.0004076606515852425,0.002329623032628241,0.004740440704846889,0.031044845913054956,0.8886225508554191,0.0031538538645105286,0.0035249010697911178,0.01142217370824966,0.0009755180494297872,0.014648209885762348,0.01750034733839643
ID_4lxfuit2,0.007393069170490813,0.007405811632362452,0.0001571191549832816,0.0009837381604670807,0.0017528260096696829,0.00736269420261728,0.02442156725072958,0.0005816093042887157,0.0003335843190893871,0.939876303283642,0.00020848208945951197,0.0014643671106757948,0.008058828311524595
ID_au4a2nwi,0.008547789904736673,0.002400937846609673,0.0008911569814793168,0.0023272033296534646,0.9659022396388319,0.002108585866277142,0.0058172407208296716,0.0032056431405379305,0.0014669451726007324,0.0018756035600563277,0.0008852612954032154,0.002787473547815297,0.001783918995168605
ID_4p8l0pmb,0.010749895323405888,0.002846778015035805,0.0006169316551466347,0.0027256038138008614,0.9582446262727844,0.002497663525469821,0.007722317692176442,0.0034700291216807617,0.0018385033574348617,0.002357770484716812,0.0010284961112746634,0.0034478961476009117,0.002453488479472081
