ID,High Cost,Higher Cost,Highest Cost,Low Cost,Lower Cost,Normal Cost
tour_idynufedne,0.12407386591681688,0.04258106203789716,0.0010419319217225406,0.06904583379275471,0.054583287109174074,0.7086740264975925
tour_id9r3y5moe,0.33209917357999497,0.45559066411084365,0.028088338056513854,0.010032040774553986,0.023576727157538908,0.1506130432820385
tour_idf6itml6g,0.6927590585271918,0.1621383789952495,0.003793870950932757,0.006776894516045975,0.004714263431593873,0.12981753544163122
tour_id99u4znru,0.02962115702281785,0.013731973509089489,0.0008584791478669874,0.31973167646115364,0.14708202958475022,0.4889746846817755
tour_idj4i9urbx,0.02314887867517685,0.008606024259608715,0.0007546412437155166,0.24099187876832487,0.3443114900538687,0.3821870797233478
tour_ids94pi2qs,0.032453000669606526,0.015352725521048941,0.0007780233184691694,0.1283092560388386,0.6066068450864872,0.21650015052970253
tour_id9xx2dq4e,0.13486541700174925,0.8135988358475418,0.004797964158702085,0.008286286096784046,0.0039854945611602875,0.034465994767066736
tour_id9q7cbwf5,0.019861504955040285,0.006945707196228771,0.0006989737112174978,0.2255048350191356,0.35394644479835924,0.3930425268112305
tour_id28uzu8li,0.26715334550959785,0.4636356757812612,0.016485802514283023,0.016929622947911532,0.07092948699094222,0.16486605973674623
tour_idf7lvpips,0.015096417367246016,0.006333926218434592,0.0007505070561431363,0.3662425357555967,0.30236915094874506,0.30920745683306833
tour_id69abaq9f,0.17887713771752878,0.2709152524831018,0.012668555490115939,0.10242456054440642,0.0908504240515833,0.3442640641253283
tour_id20ne7vgg,0.010362342544096938,0.00431321733226384,0.0006938812042683442,0.3015945317483267,0.48016622116048546,0.20286979733761756
tour_ida99j69n7,0.1532534920007697,0.7679143146134463,0.018332084329595044,0.005882938651493897,0.007003875918835156,0.047613287151694765
tour_idzwulen6z,0.003991675669968555,0.0028651092403525497,0.0004805891844240324,0.05346883697239166,0.8961114272121963,0.04308235214550665
tour_id82x4wwmo,0.4063425331562813,0.4393825422594597,0.003941276019947157,0.010660669375070955,0.015178678545077836,0.12449431030663476
tour_idlhvaq2mf,0.11479582171962473,0.02040149320780177,0.0008395794015230018,0.07466944670468093,0.07046380950262211,0.718829847251856
tour_id8t7kqb9n,0.7638742807570982,0.14525904643287163,0.007357437071476173,0.013276843922354169,0.00597815371932336,0.06425423018063499
